Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
64,5,2015-07-31,13251,935,1,1,0,1,d,c,22560.0,0.0,0.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
65,5,2015-07-31,7156,561,1,1,0,1,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,5,2015-07-31,8306,636,1,1,0,1,d,a,7660.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
67,5,2015-07-31,11035,912,1,1,0,1,a,c,410.0,2.0,2006.0,0,0.0,0.0,None
68,5,2015-07-31,11187,1341,1,1,0,1,a,c,250.0,0.0,0.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
69,5,2015-07-31,11204,1371,1,1,0,1,c,c,1130.0,0.0,0.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,5,2015-07-31,8613,741,1,1,0,1,c,c,4840.0,0.0,0.0,0,0.0,0.0,None
71,5,2015-07-31,11545,869,1,1,0,1,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
72,5,2015-07-31,5251,520,1,1,0,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,5,2015-07-31,6026,537,1,1,0,1,a,c,1650.0,9.0,2008.0,0,0.0,0.0,None
74,5,2015-07-31,7518,929,1,1,0,1,a,a,330.0,0.0,0.0,0,0.0,0.0,None
75,5,2015-07-31,7444,807,1,1,0,1,d,c,22440.0,12.0,2013.0,0,0.0,0.0,None
76,5,2015-07-31,12887,1228,1,1,0,0,d,c,19960.0,3.0,2006.0,0,0.0,0.0,None
77,5,2015-07-31,10335,780,1,1,0,1,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
78,5,2015-07-31,5712,610,1,1,0,1,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
79,5,2015-07-31,7150,643,1,1,0,1,a,a,3320.0,0.0,0.0,0,0.0,0.0,None
80,5,2015-07-31,9810,675,1,1,0,1,d,a,7910.0,0.0,0.0,0,0.0,0.0,None
81,5,2015-07-31,9279,640,1,1,0,0,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,5,2015-07-31,11492,1035,1,1,0,1,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,5,2015-07-31,3866,327,1,1,0,1,a,a,2710.0,0.0,0.0,0,0.0,0.0,None
84,5,2015-07-31,14949,1439,1,1,0,1,a,c,11810.0,8.0,2014.0,0,0.0,0.0,None
85,5,2015-07-31,7791,971,1,1,0,1,b,a,1870.0,10.0,2011.0,0,0.0,0.0,None
86,5,2015-07-31,5572,678,1,1,0,1,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
87,5,2015-07-31,6379,715,1,1,0,1,a,a,560.0,12.0,2010.0,0,0.0,0.0,None
88,5,2015-07-31,7863,776,1,1,0,1,a,a,10690.0,10.0,2005.0,0,0.0,0.0,None
89,5,2015-07-31,7295,716,1,1,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
90,5,2015-07-31,11495,1295,1,1,0,1,a,a,330.0,11.0,2007.0,0,0.0,0.0,None
91,5,2015-07-31,6164,554,1,1,0,1,c,a,2410.0,0.0,0.0,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,5,2015-07-31,8227,701,1,1,0,1,c,a,240.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
93,5,2015-07-31,6548,715,1,1,0,1,a,a,16690.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,5,2015-07-31,8372,694,1,1,0,1,d,c,14620.0,0.0,0.0,0,0.0,0.0,None
95,5,2015-07-31,8445,920,1,1,0,1,a,a,1890.0,10.0,2014.0,0,0.0,0.0,None
96,5,2015-07-31,6370,612,1,1,0,1,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
97,5,2015-07-31,8380,802,1,1,0,1,d,c,8980.0,0.0,0.0,0,0.0,0.0,None
98,5,2015-07-31,7012,512,1,1,0,1,d,c,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,5,2015-07-31,6571,507,1,1,0,0,c,c,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,5,2015-07-31,10280,764,1,1,0,0,d,a,17930.0,0.0,0.0,0,0.0,0.0,None
101,5,2015-07-31,11075,915,1,1,0,1,d,c,2440.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
102,5,2015-07-31,12602,1414,1,1,0,1,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
103,5,2015-07-31,5425,453,1,1,0,1,d,c,5210.0,5.0,2015.0,0,0.0,0.0,None
104,5,2015-07-31,10483,1223,1,1,0,1,a,a,390.0,6.0,2009.0,0,0.0,0.0,None
105,5,2015-07-31,6456,595,1,1,0,1,a,c,6190.0,0.0,0.0,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,5,2015-07-31,10845,958,1,1,0,1,a,a,1390.0,8.0,2013.0,0,0.0,0.0,None
107,5,2015-07-31,9194,1021,1,1,0,1,a,a,1930.0,9.0,2009.0,0,0.0,0.0,None
108,5,2015-07-31,14927,992,1,1,0,0,d,c,2190.0,9.0,2003.0,0,0.0,0.0,None
109,5,2015-07-31,9013,864,1,1,0,1,a,c,3300.0,11.0,2010.0,0,0.0,0.0,None
110,5,2015-07-31,6058,745,1,1,0,1,a,c,46590.0,4.0,2013.0,0,0.0,0.0,None
111,5,2015-07-31,8897,698,1,1,0,1,d,c,7890.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,5,2015-07-31,7834,817,1,1,0,1,a,a,1630.0,9.0,2009.0,0,0.0,0.0,None
113,5,2015-07-31,8453,735,1,1,0,0,d,c,20930.0,11.0,1999.0,0,0.0,0.0,None
114,5,2015-07-31,5750,620,1,1,0,1,c,a,4510.0,0.0,0.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
115,5,2015-07-31,9716,674,1,1,0,0,d,c,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,5,2015-07-31,8083,770,1,1,0,1,a,a,680.0,4.0,2013.0,0,0.0,0.0,None
117,5,2015-07-31,4487,507,1,1,0,1,a,a,3450.0,9.0,2011.0,0,0.0,0.0,None
118,5,2015-07-31,10779,797,1,1,0,1,d,c,3580.0,9.0,2012.0,0,0.0,0.0,None
119,5,2015-07-31,7038,684,1,1,0,1,a,c,2100.0,2.0,2010.0,0,0.0,0.0,None
120,5,2015-07-31,10392,794,1,1,0,1,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,5,2015-07-31,4565,549,1,1,0,1,a,a,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,5,2015-07-31,12336,1327,1,1,0,1,a,c,58260.0,4.0,2013.0,0,0.0,0.0,None
123,5,2015-07-31,10750,1108,1,1,0,1,a,a,16760.0,9.0,2011.0,0,0.0,0.0,None
124,5,2015-07-31,7464,780,1,1,0,1,a,a,1410.0,4.0,2003.0,0,0.0,0.0,None
125,5,2015-07-31,18227,2041,1,1,0,1,a,a,760.0,12.0,2005.0,0,0.0,0.0,None
126,5,2015-07-31,8742,734,1,1,0,1,d,a,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
127,5,2015-07-31,8560,848,1,1,0,0,d,a,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,5,2015-07-31,9581,694,1,1,0,1,d,c,2000.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
129,5,2015-07-31,10241,1286,1,1,0,0,a,a,2460.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
130,5,2015-07-31,5404,545,1,1,0,1,c,a,900.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,5,2015-07-31,5291,524,1,1,0,1,c,a,920.0,7.0,2015.0,0,0.0,0.0,None
132,5,2015-07-31,10387,743,1,1,0,0,d,c,1040.0,0.0,0.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,5,2015-07-31,8519,876,1,1,0,1,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,5,2015-07-31,4872,501,1,1,0,1,a,a,1200.0,9.0,2008.0,0,0.0,0.0,None
135,5,2015-07-31,7475,619,1,1,0,1,d,a,5190.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,5,2015-07-31,9568,619,1,1,0,0,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
137,5,2015-07-31,9047,1121,1,1,0,0,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,5,2015-07-31,10130,866,1,1,0,1,a,c,25360.0,10.0,2014.0,0,0.0,0.0,None
139,5,2015-07-31,7972,564,1,1,0,0,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,5,2015-07-31,9828,1085,1,1,0,1,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,5,2015-07-31,8689,813,1,1,0,1,c,c,1540.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,5,2015-07-31,5283,614,1,1,0,1,a,a,1090.0,7.0,2002.0,0,0.0,0.0,None
143,5,2015-07-31,8382,720,1,1,0,1,d,a,2930.0,12.0,2002.0,0,0.0,0.0,None
144,5,2015-07-31,8568,817,1,1,0,0,a,c,16570.0,0.0,0.0,0,0.0,0.0,None
145,5,2015-07-31,10893,1343,1,1,0,0,a,a,280.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
146,5,2015-07-31,10130,784,1,1,0,1,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,5,2015-07-31,11338,1007,1,1,0,1,d,c,8540.0,0.0,0.0,0,0.0,0.0,None
148,5,2015-07-31,9996,848,1,1,0,1,a,a,2090.0,12.0,2008.0,0,0.0,0.0,None
149,5,2015-07-31,7144,615,1,1,0,0,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,5,2015-07-31,10826,975,1,1,0,1,c,c,31830.0,3.0,2010.0,0,0.0,0.0,None
151,5,2015-07-31,10607,853,1,1,0,1,d,c,4360.0,10.0,2005.0,0,0.0,0.0,None
152,5,2015-07-31,6901,694,1,1,0,1,a,a,1780.0,0.0,0.0,0,0.0,0.0,None
153,5,2015-07-31,8392,638,1,1,0,1,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,5,2015-07-31,10751,792,1,1,0,1,d,c,16420.0,0.0,0.0,0,0.0,0.0,None
155,5,2015-07-31,8658,765,1,1,0,0,d,a,3050.0,0.0,0.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,5,2015-07-31,8828,821,1,1,0,1,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,5,2015-07-31,10975,1060,1,1,0,1,a,c,2950.0,10.0,2004.0,0,0.0,0.0,None
158,5,2015-07-31,11335,636,1,1,0,1,d,c,11840.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,5,2015-07-31,9758,812,1,1,0,0,d,a,8530.0,3.0,2013.0,0,0.0,0.0,None
160,5,2015-07-31,7839,670,1,1,0,1,d,c,17110.0,11.0,2005.0,0,0.0,0.0,None
161,5,2015-07-31,9373,924,1,1,0,1,a,c,2970.0,3.0,2005.0,0,0.0,0.0,None
162,5,2015-07-31,10735,658,1,1,0,1,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,5,2015-07-31,7118,823,1,1,0,1,a,a,1480.0,4.0,2009.0,0,0.0,0.0,None
164,5,2015-07-31,9240,792,1,1,0,0,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,5,2015-07-31,5009,501,1,1,0,0,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,5,2015-07-31,6588,898,1,1,0,1,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,5,2015-07-31,13355,1352,1,1,0,1,a,a,140.0,4.0,2008.0,0,0.0,0.0,None
168,5,2015-07-31,11285,957,1,1,0,1,a,a,12540.0,0.0,0.0,0,0.0,0.0,None
169,5,2015-07-31,7551,657,1,1,0,1,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,5,2015-07-31,5915,589,1,1,0,1,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,5,2015-07-31,8733,848,1,1,0,1,a,a,2640.0,0.0,0.0,0,0.0,0.0,None
172,5,2015-07-31,7780,891,1,1,0,0,a,a,110.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,5,2015-07-31,11034,1145,1,1,0,1,a,a,350.0,12.0,2012.0,0,0.0,0.0,None
174,5,2015-07-31,6546,544,1,1,0,0,a,a,13090.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,5,2015-07-31,7893,754,1,1,0,1,c,a,4130.0,0.0,0.0,0,0.0,0.0,None
176,5,2015-07-31,7157,734,1,1,0,1,a,a,3770.0,0.0,0.0,0,0.0,0.0,None
177,5,2015-07-31,5012,525,1,1,0,1,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,5,2015-07-31,12816,1070,1,1,0,1,d,a,1710.0,0.0,0.0,0,0.0,0.0,None
179,5,2015-07-31,10635,1183,1,1,0,1,a,c,480.0,0.0,0.0,0,0.0,0.0,None
180,5,2015-07-31,9708,910,1,1,0,1,d,a,5800.0,9.0,2010.0,0,0.0,0.0,None
181,5,2015-07-31,8398,801,1,1,0,0,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,5,2015-07-31,6755,491,1,1,0,1,d,c,1390.0,0.0,0.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,5,2015-07-31,5588,714,1,1,0,0,a,a,9670.0,0.0,0.0,0,0.0,0.0,None
184,5,2015-07-31,8190,652,1,1,0,1,d,c,3560.0,0.0,0.0,0,0.0,0.0,None
185,5,2015-07-31,7958,602,1,1,0,1,d,c,1860.0,5.0,2015.0,0,0.0,0.0,None
186,5,2015-07-31,4957,447,1,1,0,0,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,5,2015-07-31,8074,907,1,1,0,1,a,c,19360.0,0.0,0.0,0,0.0,0.0,None
188,5,2015-07-31,9660,746,1,1,0,1,d,a,850.0,0.0,0.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,5,2015-07-31,11094,940,1,1,0,1,d,a,5760.0,7.0,2014.0,0,0.0,0.0,None
190,5,2015-07-31,9772,821,1,1,0,0,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,5,2015-07-31,8592,801,1,1,0,0,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,5,2015-07-31,16191,1027,1,1,0,0,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,5,2015-07-31,5904,813,1,1,0,1,a,a,520.0,0.0,0.0,0,0.0,0.0,None
194,5,2015-07-31,6708,518,1,1,0,1,d,c,16970.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,5,2015-07-31,13443,1403,1,1,0,1,a,c,220.0,0.0,0.0,0,0.0,0.0,None
196,5,2015-07-31,6784,780,1,1,0,1,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,5,2015-07-31,10136,1054,1,1,0,1,c,a,4210.0,3.0,2015.0,0,0.0,0.0,None
198,5,2015-07-31,3824,473,1,1,0,1,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,5,2015-07-31,10260,756,1,1,0,1,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,5,2015-07-31,11177,1122,1,1,0,1,a,a,1650.0,10.0,2000.0,0,0.0,0.0,None
1,4,2015-07-30,5020,546,1,1,0,1,c,a,1270.0,9.0,2008.0,0,0.0,0.0,None
2,4,2015-07-30,5567,601,1,1,0,1,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,4,2015-07-30,8977,823,1,1,0,1,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,4,2015-07-30,10387,1276,1,1,0,1,c,c,620.0,9.0,2009.0,0,0.0,0.0,None
5,4,2015-07-30,4943,539,1,1,0,1,a,a,29910.0,4.0,2015.0,0,0.0,0.0,None
6,4,2015-07-30,4790,541,1,1,0,1,a,a,310.0,12.0,2013.0,0,0.0,0.0,None
7,4,2015-07-30,11560,1116,1,1,0,1,a,c,24000.0,4.0,2013.0,0,0.0,0.0,None
8,4,2015-07-30,8420,882,1,1,0,1,a,a,7520.0,10.0,2014.0,0,0.0,0.0,None
9,4,2015-07-30,7539,651,1,1,0,1,a,c,2030.0,8.0,2000.0,0,0.0,0.0,None
10,4,2015-07-30,6186,556,1,1,0,1,a,a,3160.0,9.0,2009.0,0,0.0,0.0,None
11,4,2015-07-30,7361,874,1,1,0,1,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,4,2015-07-30,7996,835,1,1,0,1,a,c,1070.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,4,2015-07-30,7648,474,1,1,0,0,d,a,310.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
14,4,2015-07-30,5672,613,1,1,0,1,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,4,2015-07-30,8891,741,1,1,0,1,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,4,2015-07-30,10226,953,1,1,0,1,a,c,3270.0,0.0,0.0,0,0.0,0.0,None
17,4,2015-07-30,7555,850,1,1,0,1,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,4,2015-07-30,7361,710,1,1,0,1,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,4,2015-07-30,8400,687,1,1,0,1,a,c,3240.0,0.0,0.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,4,2015-07-30,12379,1185,1,1,0,0,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
